nose_x,nose_y,chin_y,avg_ear,head_tilt,mouth_gap,face_ratio,left_ear,right_ear,face_w,brow_height,brow_furrow,perclos,symmetry,lip_droop,class_6,group
0.5024569034576416,0.5206136703491211,0.8185661435127258,0.3126073894721568,0.006172060966491699,0.0024074316024780273,1.7234696686947681,0.3205721885690114,0.30464259037530234,0.5135137736797333,0.29444030821323397,0.12053388357162476,0.0,0.9774339070523538,0.6593400537967682,focused,engaged
0.4954640567302704,0.5574373006820679,0.855255126953125,0.27041161307021777,0.004924207925796509,0.0015527009963989258,1.8258036174728296,0.2800440496730952,0.2607791764673403,0.5437586903572083,0.3334751754999161,0.12981650233268738,0.0,0.991426730300456,0.6876761317253113,focused,engaged
0.5253023505210876,0.5711351633071899,0.8752003908157349,0.3033260459941474,0.025456547737121582,0.00010675191879272461,1.813349493124956,0.3291228462516709,0.27752924573662396,0.5513783395290375,0.33518515825271605,0.13459759950637817,0.0,0.9425463040736863,0.7113351225852966,focused,engaged
0.49298834800720215,0.556995153427124,0.8459384441375732,0.2788073539437992,0.003516674041748047,0.0010257959365844727,1.8452190668250006,0.28864512788173613,0.2689695800058623,0.5331655144691467,0.3326543897390366,0.1276473104953766,0.0,0.9895749601933436,0.6820650100708008,focused,engaged
0.4906458854675293,0.5651204586029053,0.859627366065979,0.2807582920266676,0.0013595819473266602,0.0018857121467590332,1.8388246036621771,0.29143858284190977,0.27007800121142533,0.5415483862161636,0.33665473461151124,0.12772715091705322,0.0,0.988384276475629,0.6929974257946014,focused,engaged
0.5191081762313843,0.5705699324607849,0.867598295211792,0.2862031962895514,0.024122029542922974,0.0006691217422485352,1.817642956720425,0.3032270744565725,0.26917931812253026,0.5398933291435242,0.34047289192676544,0.13153567910194397,0.0,0.9541410912460039,0.7055479288101196,focused,engaged
0.5066729784011841,0.5243875980377197,0.8352891206741333,0.2962150934462998,0.005037069320678711,0.002009749412536621,1.6721267780881182,0.3090427059242151,0.28338748096838445,0.5198684334754944,0.2935519963502884,0.12492889165878296,0.0,0.9775564827042291,0.6691630482673645,focused,engaged
0.494264155626297,0.5570745468139648,0.8503347635269165,0.276025443889167,0.004334300756454468,0.0011231303215026855,1.830749139777167,0.2917037678980064,0.2603471198803276,0.5368877202272415,0.330057880282402,0.12587764859199524,0.0,0.9902772251811341,0.6837701797485352,focused,engaged
0.49177324771881104,0.561867356300354,0.8613858819007874,0.2783906345009982,0.005088984966278076,0.0012774467468261719,1.8205076761754548,0.2882340923307006,0.26854717667129585,0.5452775955200195,0.33391225934028623,0.13011890649795532,0.0,0.9856123408857731,0.6929172277450562,focused,engaged
0.4973684549331665,0.5548142790794373,0.8508495092391968,0.2585129684701558,0.004364460706710815,0.0017257928848266602,1.8336674090519836,0.2652702637948869,0.25175567314542474,0.5428319871425629,0.3277929753065109,0.12622663378715515,0.0,0.9944035375372731,0.6808463335037231,focused,engaged
0.5145474076271057,0.5454946756362915,0.8409115076065063,0.2885193806113727,0.008573412895202637,0.0013050436973571777,1.761657137521445,0.3133957528275277,0.26364300839521776,0.5204249322414398,0.30806283950805663,0.12308511137962341,0.0,0.9699360001610553,0.6781280040740967,focused,engaged
0.4206070005893707,0.6103745698928833,0.9380442500114441,0.11950256536470447,0.008961886167526245,0.015632331371307373,2.2616804954169676,0.10224263227380566,0.1367624984556033,0.7410863861441612,0.3228650987148285,0.1618083417415619,1.0,0.9003757627883259,0.7141883075237274,focused,engaged
0.5070502758026123,0.5355840921401978,0.8396191596984863,0.3075512738257665,0.006612896919250488,0.0019294023513793945,1.7306570368680962,0.32041264909462414,0.2946898985569089,0.526182159781456,0.3001406729221344,0.12605947256088257,0.0,0.9775605599924276,0.6759829521179199,focused,engaged
0.5209805369377136,0.5770005583763123,0.8790990114212036,0.29659588077536436,0.025737017393112183,0.00041735172271728516,1.8314812141502805,0.31248192579457856,0.2807098357561501,0.5532894730567932,0.3408889681100845,0.13396963477134705,0.0,0.9450100787498436,0.7165566980838776,focused,engaged
0.4959105849266052,0.5174381136894226,0.8321457505226135,0.3058177339144501,0.0033071041107177734,0.0024459362030029297,1.6789207867211793,0.3181016293434744,0.2935338384854258,0.5283708721399307,0.27838942706584935,0.12929898500442505,0.0,0.9992372901072972,0.6613910794258118,focused,engaged
0.5066747069358826,0.5445349812507629,0.832686185836792,0.29463972901014795,0.01020023226737976,0.0024734139442443848,1.7954141699699881,0.3185936802500179,0.270685777770278,0.5173525512218475,0.31809799075126644,0.12481439113616943,0.0,0.9674980643467759,0.6734140813350677,focused,engaged
0.5205579996109009,0.580470860004425,0.8818586468696594,0.2991208925110932,0.027037382125854492,0.0009822845458984375,1.8047107815560253,0.32057541535250256,0.2776663696696839,0.5439195930957794,0.3517394959926605,0.12925583124160767,0.0,0.9463579328841847,0.7188116014003754,focused,engaged
0.5159809589385986,0.5522023439407349,0.8345428109169006,0.28150153299362524,0.02225586771965027,0.001112520694732666,1.8261164690754832,0.30734213532346744,0.25566093066378304,0.5155884027481079,0.3288186818361282,0.12211030721664429,0.0,0.9517782038884801,0.6818698644638062,focused,engaged
